Dijkstra from v0
v0 -> v585: 12
v0 -> v586: 12
v0 -> v587: 24
v0 -> v588: 24
v0 -> v589: 28
v0 -> v590: 24
v0 -> v591: 24
v0 -> v592: 24
v0 -> v593: 16
v0 -> v594: 24
v0 -> v595: 12
v0 -> v596: 25
v0 -> v597: 35
v0 -> v598: 24
v0 -> v599: 33
v0 -> v600: 25
v0 -> v601: 25
v0 -> v602: 24
v0 -> v603: 24
v0 -> v604: 27
v0 -> v605: 36
v0 -> v606: 27
v0 -> v607: 36
v0 -> v608: 24
v0 -> v609: 30
v0 -> v610: 36
v0 -> v611: 34
v0 -> v612: 12
v0 -> v613: 16
v0 -> v614: 25
v0 -> v615: 38
v0 -> v616: 12
v0 -> v617: 26
v0 -> v618: 24
v0 -> v619: 24
v0 -> v620: 26
v0 -> v621: 25
v0 -> v622: 12
v0 -> v623: 26
v0 -> v624: 12
v0 -> v625: 25
v0 -> v626: 24
v0 -> v627: 36
v0 -> v628: 26
v0 -> v629: 27
v0 -> v630: 31
v0 -> v631: 24
v0 -> v632: 38
v0 -> v633: 24
v0 -> v634: 24
v0 -> v635: 12
v0 -> v636: 15
v0 -> v637: 25
v0 -> v638: 24
v0 -> v639: 24
v0 -> v640: 24
v0 -> v641: 24
v0 -> v642: 24
v0 -> v643: 24
v0 -> v644: 23
v0 -> v645: 37
v0 -> v646: 24
v0 -> v647: 24
v0 -> v648: 12
v0 -> v649: 24
v0 -> v650: 25
v0 -> v651: 54
v0 -> v652: 25
v0 -> v653: 27
v0 -> v654: 36
v0 -> v655: 13
v0 -> v656: 36
v0 -> v657: 26
v0 -> v658: 33
v0 -> v659: 25
v0 -> v660: 27
v0 -> v661: 42
v0 -> v662: 25
v0 -> v663: 26
v0 -> v664: 34
v0 -> v665: 24
v0 -> v666: 36
v0 -> v667: 27
v0 -> v668: 24
v0 -> v669: 27
v0 -> v670: 36
v0 -> v671: 24
v0 -> v672: 36
v0 -> v673: 28
v0 -> v674: 27
v0 -> v675: 39
v0 -> v676: 26
v0 -> v677: 24
v0 -> v678: 36
v0 -> v679: 14
